"Boutique","Addresse","Horaire","Metro"
"Heimstone"," 23 rue du Cherche-Midi 6e Paris  ","Du lundi au samedi de 11h à 19h","[""Rennes-Sèvres""]"
"Les Fées de Bengale"," 59ter rue Bonaparte 6e Paris  ","Du lundi au samedi de 11h à 14h et de 15h à 19h30","[""Odéon""]"
"Carven"," 34 rue Saint-Sulpice 6e Paris  ","","[""Odéon""]"
"Mint & Lilies"," 27-29 rue Daguerre 14e Paris  ","Du mardi au samedi de 10h30 à 19h30.","[""Denfert-Rochereau""]"
"Haili"," 56 rue Daguerre 14e Paris  ","Du mardi au samedi de 10h30 à 19h30, le dimanche de 10h30 à 13h30","[""Montparnasse""]"
"Emarobe"," 49 rue Daguerre 14e Paris  ","Du mardi au vendredi de 11h à 19h30, le samedi de 10h30 à 19h30","[""Denfert-Rochereau""]"
"Le Repaire des filles"," 48 rue Daguerre 14e Paris  ","Du mardi au samedi de 10h à 13h30 et de 15h à 20h","[""Montparnasse""]"
"Madame de"," 65 rue Daguerre 14e Paris  ","Du mardi au samedi de 11h à 19h30","[""Plaisance""]"
"Espace Kiliwatch"," 64 rue Tiquetonne 2e Paris  ","","[""Réaumur""]"
"L'Appartement Sézane"," 1 rue du Saint-Fiacre 2e Paris  ","Du mercredi au samedi de 11h à 20h","[""Sentier""]"
"L'Exception"," 24 rue Berger 1er Paris  ","Du lundi au samedi de 10h à 20h et le dimanche de 11h à 19h","[""LesHalles""]"
"Episode"," 12-16 rue Tiquetonne 2e Paris  ","","[""Réaumur""]"
"Surface To Air"," 108 rue Vieilledu Temple 3e Paris  ","Du lundi au samedi de 11h30 à 19h30, dimanche de 13h30 à 19h30","[""LeMarais""]"
"Le Marché Noir"," 18 rue Perrée 3e Paris  ","","[""LeMarais""]"
"Bis Boutique Solidaire"," 7boulevarddu Temple 3e Paris  ","Du mardi au samedi de 10h à 19h","[""LeMarais""]"
"Kiloshop"," 69-71 rue delaVerrerie 4e Paris  ","","[""LeMarais""]"
"Odetta"," 76 rue desTournelles 3e Paris  ","Du mardi au samedi de 14h00 à 19h30 et du  dimanche de 15h à 19h","[""LeMarais""]"
"Sissi's Corner"," 20 rue desTournelles 4e Paris  ","Du mardi au vendredi de 11h à 19h, le samedi de 12h à 20h et le dimanche de 14h à 20h","[""LeMarais""]"
"Joy"," 38 Rue du RoideSicile 4e Paris  ","Du mardi au samedi de 11h30 à 19h30, le dimanche de 14h30 à 19h30","[""LeMarais""]"
"Les Voltigeuses"," 45 rue desPetitesÉcuries 10e Paris  ","Du mardi au samedi de 10h30 à 19h","[""Poissonnière""]"
"Vintage Désir"," 32 rue desRosiers 4e Paris  ","","[""LeMarais""]"
"Archive 18-20"," 18-20 rue desArchives 4e Paris  ","","[""LeMarais""]"
"Troc en Stock","","","[""Saint-Georges""]"
"Ambrym"," 22-24 rue desVinaigriers 10e Paris  ","Du mardi au samedi de midi à 20h, le dimanche de 15h à 19h30","[""CanalSaint-Martin""]"
"Chine Machine"," 10 rue desPetitesEcuries 10e Paris  ","Du lundi au samedi de 12h à 20h.","[""Strasbourg-Saint-Denis""]"
"Family Market"," 12 rue JeanMacé 11e Paris  ","Du lundi au samedi de 11h à 19h30","[""Charonne""]"
"Les Oiseaux"," 24 rue Oberkampf 11e Paris  ","Le lundi de 14h à 19h. Du mardi au samedi de 11h à 19h","[""Saint-Ambroise""]"
"Sessun
Sessun ","34  rue  de Charonne, 11e","Du lundi au samedi de 11h à 19h","Bastille"
"La Mode Vintage ","12  rue  Rochebrune, 11e","Le vendredi et le samedi de 11h à 19h et sur rendez-vous"," Saint-Ambroise"
"Les Etoiles ","28  rue  Traversière, 12e","Du lundi au samedi de 11h à 19h et le dimanche de midi à 19h",""
"29 février","29  rue  Lemercier, 17e","Du mercredi au vendredi de 11h30 à 19h30 et le samedi de 11h à 19h"," Batignolles"
"Paperdolls ","5  rue  Houdon, 18e","Du lundi au samedi de 11h à 19h30, le dimanche de 14h30 à 19h"," Abbesses"
"Beau Travail
Beau Travail ","67  rue  de la Mare, 20e","Samedi de 14h à 19h ou sur RDV"," Belleville"
"By Mutation ","30  rue  Etienne Dolet, 20e","Du mardi au vendredi de 14h à 19h, le samedi de 11h à 19h","Belleville"
"Vintage 77 ","77  rue  de Ménilmontant, 20e","Du mardi au samedi de 10h30 à 19h30"," Belleville"

